id,date,text,views,likes,retweets,replies,quotes,url
1991087124800553343,2025-11-19T10:12:17.000Z,"#EndTerrorismInNigeria #EndTerrorismInNigeria #EndTerrorismInNigeria #EndTerrorismInNigeria #EndTerrorismInNigeria",36123,2128,1569,59,24,https://x.com/aproko_doctor/status/1991087124800553343
1991086408304341086,2025-11-19T10:09:26.000Z,"It is wickedness to see that massacre and still play politics with it. God will punish you. Lives are being cut down in broad daylight!",30418,1959,698,64,12,https://x.com/aproko_doctor/status/1991086408304341086
1991063937270366409,2025-11-19T08:40:09.000Z,"This is terrorism and it cannot continue! Human lives are being sacrificed as a result of the government not being able to protect it's people! This is a travesty! @NigeriaGov protect your citizens. We have a right to live!",42977,1645,771,67,8,https://x.com/aproko_doctor/status/1991063937270366409
1991058599335112738,2025-11-19T08:18:56.000Z,"There’s a look?",67,1,0,1,0,https://x.com/aproko_doctor/status/1991058599335112738
1991058546348245052,2025-11-19T08:18:44.000Z,"Omo",58,1,0,1,0,https://x.com/aproko_doctor/status/1991058546348245052
1991058462722191407,2025-11-19T08:18:24.000Z,"Side eye",55,0,0,0,0,https://x.com/aproko_doctor/status/1991058462722191407
1991057980788211953,2025-11-19T08:16:29.000Z,"Bro 😂",57,1,0,0,0,https://x.com/aproko_doctor/status/1991057980788211953
1991046751827235011,2025-11-19T07:31:52.000Z,"Today is International Men’s Day. Men 30+, what’s one lesson, habit or truth you wish younger men growing up today understood early?",93523,1482,242,317,82,https://x.com/aproko_doctor/status/1991046751827235011
1991042220095647961,2025-11-19T07:13:51.000Z,"How do I get this abeg?",2094,2,0,1,0,https://x.com/aproko_doctor/status/1991042220095647961
1991040956150263850,2025-11-19T07:08:50.000Z,"Musicians and AI go fight o. See this jam in less than 2 hours. Check your body today🙈 [AI song link]",54917,89,4,12,2,https://x.com/aproko_doctor/status/1991040956150263850
1991021737761448061,2025-11-19T05:52:28.000Z,"Ah! Now I want one for healthcare.",3946,0,0,2,0,https://x.com/aproko_doctor/status/1991021737761448061
1990837394178707792,2025-11-18T17:39:57.000Z,"Sharp guy",53,1,0,0,0,https://x.com/aproko_doctor/status/1990837394178707792
1990837345482912201,2025-11-18T17:39:45.000Z,"Na you dey miss out.",51,1,0,1,0,https://x.com/aproko_doctor/status/1990837345482912201
1990837273298940209,2025-11-18T17:39:28.000Z,"Thank you",49,1,0,0,0,https://x.com/aproko_doctor/status/1990837273298940209
1990837221029446025,2025-11-18T17:39:16.000Z,"Yes bro",50,1,0,0,0,https://x.com/aproko_doctor/status/1990837221029446025
1990767164840956163,2025-11-18T13:00:53.000Z,"Happy birthday. You're a blessing!",7039,25,2,2,0,https://x.com/aproko_doctor/status/1990767164840956163
1990766790033748043,2025-11-18T12:59:24.000Z,"Said 5 years ago. Same story today. The government has failed to secure its people. [Quoted old kidnapping tweet]",88239,1578,457,18,5,https://x.com/aproko_doctor/status/1990766790033748043
1990766183277334538,2025-11-18T12:56:59.000Z,"No",108,0,0,1,0,https://x.com/aproko_doctor/status/1990766183277334538
1990760494156951680,2025-11-18T12:34:23.000Z,"Who has read these and what do you think of it. Good read? Should I buy? [Books pic]",21743,144,15,22,0,https://x.com/aproko_doctor/status/1990760494156951680
1990705907706310766,2025-11-18T08:57:28.000Z,"Love is a beautiful thing",214,0,0,0,0,https://x.com/aproko_doctor/status/1990705907706310766
1990495606159409566,2025-11-17T19:01:48.000Z,"What test was done. There are different strains of HPV? This is not a straightforward question, there is more context needed",45,1,0,1,0,https://x.com/aproko_doctor/status/1990495606159409566
1990464806998991112,2025-11-17T16:59:25.000Z,"Don't lie o. How many of you are like @JemimaOsunde? Tell me in the comments. Oh…and don't forget to get your AprokoNation Fiesta tickets: [Link]",13219,193,23,10,0,https://x.com/aproko_doctor/status/1990464806998991112
